username,password,account_ids
"qm.team.br+222@gmail.com","Password1","99481543000135"
"qm.team.br+333@gmail.com","Password1","99481543000135"
"qm.team.br+10000@gmail.com","Pass()12","99481543000135;42282891000166"
"qm.team.br+1@gmail.com","Password1","99481543000135"
"qm.team.br+2@gmail.com","Password1","56338831000122;42282891000166"
"qm.team.br+3@gmail.com","Password1","99481543000135"
"qm.team.br+100@gmail.com","Pass()12","56338831000122;42282891000166"
"qm.team.br+11@gmail.com","Password1","99481543000135"
"qm.team.br+22@gmail.com","Password1","56338831000122;42282891000166"
"qm.team.br+33@gmail.com","Password1","99481543000135"
"qm.team.br+1000@gmail.com","Pass()12","56338831000122;42282891000166"
"qm.team.br+44@gmail.com","Password1","53100034518499"
"qm.team.br+46@gmail.com","Password1","73100034518491"
"qm.team.br+47@gmail.com","Password1",""
