username,password,account_ids
"qm.team.za+111@gmail.com","Password1","9883300101"
"qm.team.za+222@gmail.com","Password1","9883300101;9883300103"
"qm.team.za+333@gmail.com","Password1","9883300101"
"qm.team.za+10000@gmail.com","Pass()12","9883300101;9883300103"
"qm.team.za+1@gmail.com","Password1","9883300101"
"qm.team.za+2@gmail.com","Password1","9883300102;9883300103"
"qm.team.za+3@gmail.com","Password1","9883300101"
"qm.team.za+100@gmail.com","Pass()12","9883300102;9883300103"
"qm.team.za+11@gmail.com","Password1","9883300101"
"qm.team.za+22@gmail.com","Password1","9883300102;9883300103"
"qm.team.za+33@gmail.com","Password1","9883300101"
"qm.team.za+1000@gmail.com","Pass()12","9883300102;9883300103"
"qm.team.za+44@gmail.com","Password1","2010033889"
"qm.team.za+46@gmail.com","Password1","4010033881"
"qm.team.za+47@gmail.com","Password1",""
"qm.team.za+48@gmail.com","Password1",""
